stim_id,gameID,condition,Q0,Q1,rt,time_elapsed,comprehension_attempt,q0correct,Q0correct,Q1correct,correct
6790956f96019241f9c4f665,3940-a6a959f6-2dc0-43d7-9f8e-e5e5d3cfc436,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,8151,123072,1.0,1.0,1,1,1
6790956f96019241f9c4f664,4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,726784,2113962,1.0,1.0,1,1,1
6790956f96019241f9c4f666,7209-f522767f-26aa-4a22-b50a-17f64304a083,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,15056,125561,1.0,1.0,1,1,1
6790956f96019241f9c4f667,6110-7c3fd621-28f8-4d65-b650-9c8fcc6290c8,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,11038,144624,1.0,1.0,1,1,1
6790956f96019241f9c4f66c,4733-c6a6e973-18d8-4b07-9e81-737cf6b3fe7b,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,18547,114065,1.0,1.0,1,1,1
6790956f96019241f9c4f669,2839-a3cd9207-4f4c-4db0-a0db-5d16fa3e57ac,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,5805,221786,1.0,1.0,1,1,1
6790956f96019241f9c4f668,0047-f873669a-075a-4f22-80d2-c33cd8217451,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,25052,224582,1.0,1.0,1,1,1
6790956f96019241f9c4f66b,9390-86c56e18-f87b-46d4-9a5e-f44e363d8f6c,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,47398,376689,1.0,1.0,1,1,1
6790956f96019241f9c4f66a,4874-8b3ae495-d2ac-48be-9f34-6a6c65fb844f,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,64623,486177,1.0,1.0,1,1,1
6790956f96019241f9c4f677,8941-a75295a1-0952-400a-98d3-689ad17d5fd6,enjoyable,I will rate how difficult puzzles are,Try to solve some puzzles,6445,89039,1.0,1.0,0,1,0
6790956f96019241f9c4f677,8941-a75295a1-0952-400a-98d3-689ad17d5fd6,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,3899,94629,2.0,2.0,1,1,1
6790956f96019241f9c4f66f,9875-77c31433-07e1-4aef-a4e5-043f15ecb034,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,15847,191551,1.0,1.0,1,1,1
6790956f96019241f9c4f675,0808-1234c64f-ccf4-46a1-bc6f-6827478f2d8e,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,13815,168913,1.0,1.0,1,1,1
6790956f96019241f9c4f674,6186-32e70ee4-7ac6-4d03-856c-c7e9ef8aba13,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,24177,190793,1.0,1.0,1,1,1
6790956f96019241f9c4f67f,8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,44622,159583,1.0,1.0,1,1,1
6790956f96019241f9c4f671,3398-8fd61e31-c1ca-4273-94c4-fcce5e1b8ca2,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,34669,232093,1.0,1.0,1,1,1
6790956f96019241f9c4f679,5158-d99f7eab-0aa9-4d14-be5b-5d7b30250881,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,19945,204235,1.0,1.0,1,1,1
6790956f96019241f9c4f676,0209-82f8d7b1-7d8c-421b-becd-e2fc43eb28b8,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,35678,221293,1.0,1.0,1,1,1
6790956f96019241f9c4f680,5808-784eccb3-6c57-47b0-b644-b30e7354513c,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,32606,195792,1.0,1.0,1,1,1
6790957096019241f9c4f689,9929-112c5ca1-1f34-42cb-b380-2ddd456ce48e,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,64481,136220,1.0,1.0,1,1,1
6790956f96019241f9c4f663,4221-f8153973-98d6-43e5-9908-2a60cadfb458,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,39088,321432,1.0,1.0,1,1,1
6790956f96019241f9c4f673,8970-248ef224-45f0-409b-b3f9-00ecd37777f1,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,60881,329937,1.0,1.0,1,1,1
6790956f96019241f9c4f67d,9452-adc2ff0b-2602-4162-a90b-ba6db4c203ce,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,31567,347958,1.0,1.0,1,1,1
6790957096019241f9c4f687,8829-549a72ed-1db2-424f-ba1f-171c5a187085,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,11928,297863,1.0,1.0,1,1,1
6790957096019241f9c4f68c,4716-1b2723d0-ff1a-41ed-8ea9-bceb42bd14ce,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,25320,236317,1.0,1.0,1,1,1
6790956f96019241f9c4f67a,1890-81ac7e3a-a990-4e12-b54c-67a3c95550bd,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,57157,413211,1.0,1.0,1,1,1
6790957096019241f9c4f692,4320-9a92a33e-6a72-478a-9973-6d8da20dea70,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,38589,163121,1.0,1.0,1,1,1
6790957096019241f9c4f68b,4896-b66aacea-64dd-49d3-a2ef-7ab7dcb4dd82,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,29822,326249,1.0,1.0,1,1,1
6790957096019241f9c4f695,5829-72ec2758-b054-405d-84af-93958e222f07,difficult,I will rate how enjoyable puzzles are,Try to solve some puzzles,15158,123901,1.0,1.0,0,1,0
6790957096019241f9c4f695,5829-72ec2758-b054-405d-84af-93958e222f07,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,47900,177956,2.0,2.0,1,1,1
6790957096019241f9c4f693,8498-7e0986a7-3f38-4667-9b8d-ca68dbbbee16,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,33078,325943,1.0,1.0,1,1,1
6790956f96019241f9c4f682,9700-3f1fa752-1627-427b-862c-3c37ccdd3eab,enjoyable,I will rate how difficult puzzles are,Try to solve some puzzles,18184,594078,1.0,1.0,0,1,0
6790957096019241f9c4f68f,5653-dfcb6dfa-3014-4033-875d-85592e44c67c,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,22609,430880,1.0,1.0,1,1,1
6790956f96019241f9c4f682,9700-3f1fa752-1627-427b-862c-3c37ccdd3eab,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,51634,649029,2.0,2.0,1,1,1
6790957096019241f9c4f690,1642-61ad1944-5d43-48a6-a027-842ccbac7568,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,88778,470589,1.0,1.0,1,1,1
6790956f96019241f9c4f670,3592-7763f518-8340-496a-83e4-72958bed2b0a,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,23343,772600,1.0,1.0,1,1,1
6790957096019241f9c4f694,1596-edd316b7-6662-437d-b77f-fe95f4e07675,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,76525,445590,1.0,1.0,1,1,1
6790957096019241f9c4f684,9330-ba53cf07-9a15-4ae5-931d-90e4b6d78589,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,44002,806846,1.0,1.0,1,1,1
6790957096019241f9c4f691,7096-1cf9f68d-8231-4466-ae2f-3b68f74a0aad,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,36298,1157885,1.0,1.0,1,1,1
6790957096019241f9c4f69a,4091-dd377ff2-473f-452d-9abe-a2447b87041b,difficult,I will rate how enjoyable puzzles are,Try to solve some puzzles,44412,195719,1.0,1.0,0,1,0
6790957096019241f9c4f69a,4091-dd377ff2-473f-452d-9abe-a2447b87041b,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,56394,265175,2.0,2.0,1,1,1
6790957096019241f9c4f699,7955-21954200-59ed-4583-8e48-182d58899121,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,92893,3733079,1.0,1.0,1,1,1
6790957096019241f9c4f69c,1448-34a5ce1b-ff83-49f1-be14-374409a0736a,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,31303,373260,1.0,1.0,1,1,1
6790957096019241f9c4f69d,7424-35d570a4-ff0a-4a03-90f4-f092cdaaacd4,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,31860,369042,1.0,1.0,1,1,1
6790957096019241f9c4f69e,0847-06f5c3fa-c904-4578-890e-c9f08089b4a2,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,120171,762565,1.0,1.0,1,1,1
6790957096019241f9c4f6a1,2674-76bec893-9fbd-48b7-828b-b9c9de86842c,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,9197,147896,1.0,1.0,1,1,1
6790957196019241f9c4f6af,3417-e2d71d57-a14e-4886-a011-78e7d5243b0a,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,19261,138935,1.0,1.0,1,1,1
6790957096019241f9c4f6ac,0073-f83ee842-19f5-465a-b573-e5e1ecff0e2f,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,24052,180205,1.0,1.0,1,1,1
6790957196019241f9c4f6b2,2051-048c77d5-64d0-4bde-8506-8da401452696,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,12282,163129,1.0,1.0,1,1,1
6790957096019241f9c4f6aa,7257-dc1e2b62-17ca-461f-855b-90b81c213649,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,20294,204261,1.0,1.0,1,1,1
6790957196019241f9c4f6b8,8979-8f4a79ba-d6e6-4849-8b51-4a6c8dd83e79,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,23975,225820,1.0,1.0,1,1,1
6790957096019241f9c4f6a3,7265-ac3cd1ef-b982-4f2e-af41-d56368ae6edf,enjoyable,I will rate how difficult puzzles are,Try to solve some puzzles,39313,300828,1.0,1.0,0,1,0
6790957096019241f9c4f6a6,0055-fdb3d639-30d2-43d6-a8b4-9c99d2c2e45e,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,52357,296096,1.0,1.0,1,1,1
6790957096019241f9c4f6a7,7311-a30685b7-505c-4139-9434-cff4b405d7c3,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,48152,297975,1.0,1.0,1,1,1
6790957096019241f9c4f6a3,7265-ac3cd1ef-b982-4f2e-af41-d56368ae6edf,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,17683,324331,2.0,2.0,1,1,1
6790957096019241f9c4f6a0,0885-9d54908b-0065-4c7a-a372-20b29af57ac5,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,40887,367551,1.0,1.0,1,1,1
6790957196019241f9c4f6b3,2334-f3ce26dc-d7b8-4b11-9de4-693467aabb5a,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,39725,318284,1.0,1.0,1,1,1
6790957196019241f9c4f6b1,3368-10d99362-a076-4f79-937e-c720fdcbc414,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,11624,335259,1.0,1.0,1,1,1
6790957096019241f9c4f6a2,5846-6d2c90f7-fb2a-414b-99bf-b7a1f46acbbd,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,21983,408303,1.0,1.0,1,1,1
6790957196019241f9c4f6be,7570-7e21a10f-14c1-449e-b632-21b9a75d2f7b,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,17514,228343,1.0,1.0,1,1,1
6790957196019241f9c4f6bd,4047-e32140a3-3b28-4f2b-9ba3-c2a1e9327ec6,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,26845,276832,1.0,1.0,1,1,1
6790957096019241f9c4f6a9,6597-33a376ae-5d1a-49f3-905e-aa8bc37c24cd,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,86539,450477,1.0,1.0,1,1,1
6790957096019241f9c4f6a5,3529-5cce2b4b-5b80-42cf-8af7-a1243bcef95b,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,25595,482331,1.0,1.0,1,1,1
6790957096019241f9c4f6a8,3923-9e1c2464-4cd8-4845-a0d6-2816d7461393,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,70874,511432,1.0,1.0,1,1,1
6790957196019241f9c4f6bf,2896-9a6e26ee-4bc6-4b47-84f2-37ee5e14e3e0,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,61169,421004,1.0,1.0,1,1,1
6790957196019241f9c4f6b9,1064-892ec835-62f9-4338-82b9-5d4180f39f88,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,32245,540936,1.0,1.0,1,1,1
6790957196019241f9c4f6b0,1806-1198a39d-5416-459a-b5bf-d805efb81190,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,19868,603791,1.0,1.0,1,1,1
6790957196019241f9c4f6bc,2212-2e008b61-4a7e-4d2a-9945-783bc07e09a0,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,44972,581845,1.0,1.0,1,1,1
6790957196019241f9c4f6ae,8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,86394,662968,1.0,1.0,1,1,1
6790957096019241f9c4f69f,8623-d4ef7ab9-87ee-43f3-879d-dc777ad89d27,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,40963,746719,1.0,1.0,1,1,1
6790957196019241f9c4f6b7,0064-edadbd5c-58c4-45a2-81fc-d8ae38231ce3,difficult,I will rate how enjoyable puzzles are,Try to solve some puzzles,63379,720623,1.0,1.0,0,1,0
6790957196019241f9c4f6c0,2995-02c4a682-4b63-46f1-80ae-36f888e70791,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,18023,551077,1.0,1.0,1,1,1
6790957196019241f9c4f6b7,0064-edadbd5c-58c4-45a2-81fc-d8ae38231ce3,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,8357,734828,2.0,2.0,1,1,1
6790957096019241f9c4f6a4,9757-aee868cc-3643-44a7-803d-dedb02151854,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,18023,892257,1.0,1.0,1,1,1
6790957196019241f9c4f6b4,7300-26294324-fb0d-4605-beff-26d77f614899,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,28294,988121,1.0,1.0,1,1,1
6790957196019241f9c4f6c8,6467-cb2e41ae-5a2b-4c95-996f-e6cf85a0c8e3,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,75019,471098,1.0,1.0,1,1,1
6790957196019241f9c4f6ca,2485-47f57e30-a80b-4dbd-a9e6-6b306a349c3f,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,9951,219141,1.0,1.0,1,1,1
6790957196019241f9c4f6cd,5189-1145fda3-1f91-4ca5-9f29-db69268412b3,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,3330,54268,1.0,1.0,1,1,1
6790957196019241f9c4f6b6,7643-b62f402a-51de-41c0-9821-a0739b2c3d85,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,25584,1214149,1.0,1.0,1,1,1
6790957096019241f9c4f6ab,2138-8ccc2c79-3fd9-4658-8958-c14e6c181a59,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,49656,1511428,1.0,1.0,1,1,1
6790957196019241f9c4f6c1,9258-6d96af6a-31a7-43d1-bd98-e370c382df7f,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,8829,1764822,1.0,1.0,1,1,1
6790957196019241f9c4f6d0,3552-d59afaf9-6865-4261-9551-f85620851034,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,56771,315495,1.0,1.0,1,1,1
6790957196019241f9c4f6d2,0995-0ab739bc-28d3-48a8-a7a7-3f8035b78a8d,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,25241,152881,1.0,1.0,1,1,1
6790957296019241f9c4f6d7,7662-770cd839-3f7e-4e6f-9566-24ef054ab8b2,enjoyable,I will rate how difficult puzzles are,Try to solve some puzzles,18262,130291,1.0,1.0,0,1,0
6790957296019241f9c4f6d8,2384-c187e14b-150a-45e6-b8b0-9379304c71b2,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,25995,141712,1.0,1.0,1,1,1
6790957296019241f9c4f6dc,8328-a622e708-bdac-44f2-963e-cce2caa58ee6,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,23889,145769,1.0,1.0,1,1,1
6790957296019241f9c4f6de,9892-40821a05-0540-4e3c-a8f5-e62dcf08f6a1,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,38510,149312,1.0,1.0,1,1,1
6790957296019241f9c4f6e2,9000-3e06d826-8f80-4ea6-b332-f1b585078198,difficult,I will rate how enjoyable puzzles are,Try to solve some puzzles,9868,149890,1.0,1.0,0,1,0
6790957296019241f9c4f6e2,9000-3e06d826-8f80-4ea6-b332-f1b585078198,difficult,I will rate how enjoyable puzzles are,Try to design new puzzle levels,4655,155647,2.0,2.0,0,0,0
6790957296019241f9c4f6d7,7662-770cd839-3f7e-4e6f-9566-24ef054ab8b2,enjoyable,I will rate how enjoyable puzzles are,Try to design new puzzle levels,72139,204735,2.0,2.0,1,0,0
6790957296019241f9c4f6ef,6497-9ac27707-a691-4002-b3d0-f813dc3a71c6,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,12852,120148,1.0,1.0,1,1,1
6790957296019241f9c4f6f3,9594-b4a0871c-d192-4076-849f-725c42fca9e9,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,17171,89813,1.0,1.0,1,1,1
6790957296019241f9c4f6e5,8813-0c5fda1b-9036-4d0d-99a3-ca1909b62dc0,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,33187,179494,1.0,1.0,1,1,1
6790957296019241f9c4f6d5,4084-ae1faa22-f5a2-4ba3-8dcd-a61cd0223131,enjoyable,I will rate how enjoyable puzzles are,Try to solve some puzzles,49104,251589,1.0,1.0,1,1,1
6790957296019241f9c4f6e6,2637-6cf188d9-47da-4ce5-ae70-39349d120c9c,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,35659,186464,1.0,1.0,1,1,1
6790957296019241f9c4f6eb,3984-6085564f-0e03-4d95-8c42-5960925b58d4,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,19946,181069,1.0,1.0,1,1,1
6790957296019241f9c4f6e9,5601-369631c8-7a4d-4e81-bf57-9ddb39b26599,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,23270,190515,1.0,1.0,1,1,1
6790957296019241f9c4f6e8,4864-2d876561-18cc-4580-a9dd-1f7df57f0846,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,51936,242273,1.0,1.0,1,1,1
6790957296019241f9c4f6ea,6168-52e0099e-01df-47f5-baa9-9ac43994c386,difficult,I will rate how difficult puzzles are,Try to solve some puzzles,10551,241147,1.0,1.0,1,1,1
