stimuli_set,puzzle_id,condition,n,rating_meanBoot,rating_ciLo,rating_mean,rating_ciHi,rating_median,rating_sd,posttest_mElo,pretest_mElo,posttest_mElo_meanBoot,pretest_mElo_meanBoot,posttest_mElo_ciLo,pretest_mElo_ciLo,posttest_mElo_ciHi,pretest_mElo_ciHi,pretest_prop_selected,posttest_prop_selected,pretest_selected,posttest_selected,pretest_appeared,posttest_appeared
A,Microba 104,difficult,45,9.066666666666666,8.609643774069319,9.076783807200004,9.514449404761905,10,1.5724907862137925,8.459051282051282,3.882380952380951,8.027377098142535,4.469289647478926,-14.478998886639676,-15.689053837876612,28.968203581081067,25.064201875000002,0.5238095238095238,0.5512820512820513,44,43,84,78
A,Microba 104,enjoyable,42,4.119047619047619,3.3487897484575226,4.104285131874276,4.976204318936877,3,2.7954874870691238,15.067707317073173,-10.688439024390245,15.365432252699204,-10.648661778446503,-3.518217387387389,-28.417552038183693,33.993420353618426,7.165388425925915,0.43902439024390244,0.5853658536585366,36,48,82,82
A,Microba 67,difficult,45,8.622222222222222,8.026741976351351,8.628525073903349,9.139546511627907,9,1.787442165483822,-9.253923076923078,-13.774095238095235,-9.094048035797417,-14.05192985962336,-30.614078194993414,-33.14147663120568,11.177230540780139,5.351668958333332,0.42857142857142855,0.44871794871794873,36,35,84,78
A,Microba 67,enjoyable,42,4.166666666666667,3.431213235294117,4.185034194728924,5.025675675675675,4,2.7489835519889336,-15.892365853658537,-9.09251219512195,-15.846952079163875,-8.958092907690816,-39.71684926470588,-27.39159973262032,8.127062906504056,9.396941918682783,0.45121951219512196,0.4146341463414634,37,34,82,82
A,Sokogen 13,difficult,45,7.355555555555556,6.61997619047619,7.356420149104885,8.043673355629876,8,2.496866723384216,-21.864871794871796,3.8908333333333314,-21.865232271195875,4.131082453439731,-42.11126545454546,-18.547258928571434,-2.1444655185758643,25.345731169985772,0.5238095238095238,0.38461538461538464,44,30,84,78
A,Sokogen 13,enjoyable,42,5.5,4.6040624999999995,5.475909015983738,6.472291666666668,4.5,3.1487512042620107,-6.616926829268289,2.620414634146345,-6.361476316160429,3.196919392134725,-29.99596069734345,-18.299728088235295,16.872300568181817,25.42929768018018,0.5121951219512195,0.4634146341463415,42,38,82,82
A,Sokogen 18,difficult,45,7.777777777777778,6.977751937984497,7.769716964139659,8.552704678362574,9,2.891121903100224,11.225820512820512,-6.091904761904763,10.95739926315297,-6.03805548437689,-10.683826251251254,-27.119356517857145,34.0567054054054,14.104842424242422,0.4642857142857143,0.5641025641025641,39,44,84,78
A,Sokogen 18,enjoyable,42,5.428571428571429,4.472181372549019,5.424647899296649,6.392488076311606,6,3.2320261495475067,0.9814634146341445,6.28565853658537,0.701797364463049,6.250526617039202,-16.777302491694357,-13.408441163003662,17.580100088652483,24.49950111111111,0.5365853658536586,0.5,44,41,82,82
A,Sokogen 32,difficult,45,7.133333333333334,6.288878205128206,7.113511155024495,7.90390625,8,2.743587565082027,-5.072769230769232,-2.306380952380951,-4.667811178317575,-2.195178183712828,-23.969019460227276,-21.176833879310344,14.35632530448717,14.749728571428571,0.4880952380952381,0.47435897435897434,41,37,84,78
A,Sokogen 32,enjoyable,42,5.357142857142857,4.4198658536585365,5.360599132674925,6.242424242424242,6,2.928592674351421,6.389170731707316,20.722853658536586,6.697229995684049,20.77642851150743,-8.865032113821135,-0.33063138544891696,25.58249140546006,41.374630833333335,0.6097560975609756,0.5365853658536586,50,44,82,82
A,Sokogen 34,difficult,45,8.6,7.886347402597403,8.599557095828985,9.19060559006211,10,2.209483691231548,0.7372820512820517,-6.077238095238095,0.8307950996529045,-6.425282856864191,-21.47057830634278,-26.642968333333332,22.538455021520804,15.397437625538016,0.4642857142857143,0.5,39,39,84,78
A,Sokogen 34,enjoyable,42,4.285714285714286,3.317003484320558,4.272133845880674,5.302906976744185,3,3.2929023026674953,-11.302804878048777,-11.48029268292683,-11.37817580030556,-11.572487719496523,-32.9591119047619,-32.93752438322368,10.846478689189189,9.85308682432432,0.43902439024390244,0.43902439024390244,36,36,82,82
A,Sokogen 35,difficult,45,8.688888888888888,8.166666666666666,8.687257422957332,9.195121951219512,10,1.8068332697419716,19.287871794871798,17.577238095238098,19.72521345717691,17.762766411916775,-2.86403214285714,-0.028717617007255395,41.18711210340775,36.05529602272727,0.5952380952380952,0.6025641025641025,50,47,84,78
A,Sokogen 35,enjoyable,42,4.690476190476191,3.7658874580067194,4.689971811990567,5.711607142857143,5,3.0402831642680055,16.535097560975608,0.12156097560975823,15.859613561959383,0.026145396957974344,-5.740289339339336,-19.62302256097561,35.608237179487176,21.572380079365075,0.5,0.5853658536585366,41,48,82,82
A,Sokogen 38,difficult,45,9.022222222222222,8.547470238095237,9.021375840374441,9.400106382978723,10,1.453661347471038,-3.518461538461541,2.899166666666663,-3.399955478266649,2.927594888315273,-22.415419885204084,-16.76085919642857,17.489534210526312,22.589066785714287,0.5119047619047619,0.47435897435897434,43,37,84,78
A,Sokogen 38,enjoyable,42,4.357142857142857,3.5530521783181364,4.34913187335739,5.14294425087108,4,2.7834127900083163,-5.1613414634146375,1.5107560975609755,-5.0887736181884415,1.8252880262462758,-25.46815842572062,-19.203838283208018,16.127426704545442,21.400294586983726,0.5121951219512195,0.47560975609756095,42,39,82,82
B,Dimitri 37,difficult,41,6.073170731707317,5.232458471760798,6.080947742042109,6.9218989769820976,6,2.944403538090856,-10.723904761904762,5.132093023255813,-10.596000351505383,5.002900579187962,-31.371843327067666,-15.792217948717944,9.330400320512807,25.11093056294326,0.5232558139534884,0.4523809523809524,45,38,86,84
B,Dimitri 37,enjoyable,41,7.2439024390243905,6.366590909090909,7.22189145700459,8.02781862745098,8,2.7638785049715735,4.47758536585366,10.272976190476195,4.336019027443704,10.396542678227108,-12.9602490625,-10.615292011278191,22.41287588383838,31.223408364661655,0.5595238095238095,0.524390243902439,47,43,84,82
B,Microba 33,difficult,41,8.731707317073171,8.120454545454546,8.737932581303737,9.307692307692308,10,1.8976879385702812,-2.2957142857142867,4.074976744186046,-2.2485671269425143,4.052714573882924,-21.327451428571425,-17.0943384717608,17.863269499362243,24.406726711711713,0.5232558139534884,0.4880952380952381,45,41,86,84
B,Microba 33,enjoyable,41,4.634146341463414,3.7315964523281595,4.632783578846908,5.52797619047619,4,2.997966790684777,-9.043243902439029,6.978500000000001,-9.426507422478421,6.974047466473775,-29.192130066287877,-12.742264166666667,10.761898579545454,25.567600703324803,0.5357142857142857,0.45121951219512196,45,37,84,82
B,Microba 41,difficult,41,7.365853658536585,6.452008928571429,7.355751721935279,8.175240384615385,8,2.6995934653293228,8.494380952380956,-3.0671627906976737,9.2177549042319,-2.9382211805348457,-10.374502505599109,-25.018350299043064,30.41746978319783,20.509440597484275,0.4883720930232558,0.5476190476190477,42,46,86,84
B,Microba 41,enjoyable,41,5.487804878048781,4.477245670995671,5.493203316191981,6.500765306122449,6,3.325071061041495,17.32417073170732,-2.371095238095239,17.936632346245023,-2.2109703838284913,-1.2081028409090862,-21.97163044507576,37.23447422619048,17.368008124195615,0.4880952380952381,0.5975609756097561,41,49,84,82
B,Microba 48,difficult,41,6.097560975609756,5.121534017971759,6.096741414675983,7.037903563941301,6,3.096811893292685,11.284357142857138,-3.7090465116279097,11.74202757759403,-3.891733131873198,-8.301500000000003,-24.923931756756755,33.998978054221,17.37820325825824,0.4883720930232558,0.5595238095238095,42,47,86,84
B,Microba 48,enjoyable,41,7.682926829268292,6.942541528239203,7.694903378048066,8.39409090909091,8,2.296072999604367,15.753170731707314,3.124142857142858,16.169894760468303,3.111924265155242,-7.136652731092434,-19.28177809451219,37.465269183006534,23.871429468718965,0.5119047619047619,0.5853658536585366,43,48,84,82
B,Sokogen 17,difficult,41,6.317073170731708,5.3857323232323235,6.319511766667907,7.193570788530466,7,2.927789476637997,-5.967785714285717,11.334558139534888,-5.6317280296071,11.313306409367264,-26.11739140271493,-7.722464232781168,15.504893864468862,31.158188558558553,0.5581395348837209,0.4642857142857143,48,39,86,84
B,Sokogen 17,enjoyable,41,7.780487804878049,7.025555555555556,7.7842084077096985,8.437591911764706,8,2.3185361235265587,-13.71526829268293,3.054499999999998,-13.542817046163853,3.1317325049272093,-31.683888636363633,-19.483078712121213,5.19196306818181,24.713127340425526,0.5119047619047619,0.4268292682926829,43,35,84,82
B,Sokogen 19,difficult,41,7.853658536585366,7.085699088145896,7.864713216540427,8.605263157894736,8,2.4347584645068605,-5.1763095238095245,-3.0739069767441856,-5.269120284611027,-3.2081957737501012,-23.685913026315788,-22.8638978736089,13.55562996272134,16.45281818181818,0.47674418604651164,0.4642857142857143,41,39,86,84
B,Sokogen 19,enjoyable,41,4.560975609756097,3.567508813160987,4.5658317871099525,5.59472972972973,4,3.130884703145461,-2.9671463414634127,-21.96547619047619,-2.918490929264772,-21.915936322410904,-23.64616010074231,-41.36741866537717,16.470275675675676,-2.5492691576087054,0.38095238095238093,0.4878048780487805,32,40,84,82
B,Sokogen 39,difficult,41,8.951219512195122,8.379202586206898,8.959834316186143,9.457252747252747,10,1.7599889134905813,7.65283333333333,-16.857046511627907,7.545432903330196,-17.510755696451962,-12.92959017374517,-38.137852306763286,27.42348694736842,3.1418807142857084,0.4069767441860465,0.5357142857142857,35,45,86,84
B,Sokogen 39,enjoyable,41,4.2682926829268295,3.419336084021005,4.255598797184209,5.205555555555555,4,2.9070981256564288,-14.748780487804877,3.9796428571428537,-14.954680103954514,4.241741556463469,-34.955083204633205,-15.4234248065764,4.185506509146341,24.115996276595745,0.5238095238095238,0.4146341463414634,44,34,84,82
B,Sokogen 6,difficult,41,6.536585365853659,5.536451981707318,6.526095292442431,7.424505928853755,7,2.9419174102582293,-3.2678571428571455,6.165534883720929,-3.4580338548931633,6.313239723002179,-23.09498752860412,-14.111486372180451,16.37366622257053,26.408040089285713,0.5348837209302325,0.4880952380952381,46,41,86,84
B,Sokogen 6,enjoyable,41,6.902439024390244,5.947017543859649,6.869103050429354,7.826923076923077,8,2.998373542846026,2.91951219512195,-3.0731904761904785,3.5843323939518545,-2.966214870151005,-17.677941539634148,-20.6921625,24.96290699833703,14.57394325227963,0.4880952380952381,0.5121951219512195,41,42,84,82
C,Microba 17,difficult,40,7.45,6.564880059970015,7.479510423517257,8.406510416666666,9,3.0880248437953726,-14.462288888888885,-3.3511463414634144,-14.445863712028283,-3.669254625197678,-33.20727115384616,-22.229702002583984,3.99376253324468,15.370210154738873,0.47560975609756095,0.4222222222222222,39,38,82,90
C,Microba 17,enjoyable,41,5.439024390243903,4.521552795031056,5.425077556959778,6.3451691607026675,6,2.9836955314492535,-4.441499999999998,22.698658536585363,-4.818593872704152,22.640777614556047,-26.66476742063492,4.370223577111383,17.266692869269946,42.287277011494254,0.6219512195121951,0.47619047619047616,51,40,82,84
C,Microba 26,difficult,40,7.35,6.488004895960832,7.342723273646078,8.128333333333334,8,2.703748584882923,-2.4912888888888887,3.0266585365853684,-2.817133804527989,3.057755074364964,-22.224111519138752,-13.587682056451616,16.79716848072562,19.83925719827586,0.5121951219512195,0.4888888888888889,42,44,82,90
C,Microba 26,enjoyable,41,6.414634146341464,5.636244019138757,6.422236572203606,7.182002457002457,7,2.509737135200593,-6.370500000000002,-20.105634146341465,-6.428362578848275,-20.34544780498849,-27.449720547112463,-39.5961125,14.414445312499998,-2.0472937687687693,0.3902439024390244,0.4642857142857143,32,39,82,84
C,Microba 43,difficult,40,5.375,4.524895833333334,5.38853671100096,6.264754901960784,6,2.8795254238618324,8.977844444444443,-7.925780487804879,8.701646072474182,-8.508518517415215,-10.83502110717897,-30.607971645894427,27.94020325059101,13.445005764358108,0.4634146341463415,0.5444444444444444,38,49,82,90
C,Microba 43,enjoyable,41,7.390243902439025,6.488284002818887,7.383023991110208,8.151674641148325,8,2.6256241998855026,9.504976190476192,1.8176097560975657,9.305835862871604,1.8938671200056945,-11.523342811264822,-18.605181166666668,29.55970312499999,22.149163829787234,0.5121951219512195,0.5476190476190477,42,46,82,84
C,Microco 28,difficult,40,9.4,8.949861111111112,9.407754599975188,9.736842105263158,10,1.3922864426767716,-11.385644444444448,7.229756097560977,-11.319013581768353,7.230161645222334,-28.571186022727275,-12.833373780487808,7.478067451298701,28.346071150219984,0.5365853658536586,0.4444444444444444,44,40,82,90
C,Microco 28,enjoyable,41,3.8292682926829267,3.1747916666666667,3.8253821423714442,4.534926262053318,3,2.201163772012322,-8.836738095238097,11.272829268292686,-9.06397645068161,10.889702050525072,-29.707912755102043,-11.141605944055945,9.572149359531046,32.283021874999996,0.5609756097560976,0.4523809523809524,46,38,82,84
C,Sokogen 14,difficult,40,5.825,4.771373626373626,5.817390197554962,6.76204318936877,5,3.2016622285370806,-2.1880888888888927,10.772048780487799,-2.4524397561530478,9.999010509421426,-20.05534695378151,-11.976848755656114,14.991784895833327,34.443379761904765,0.5609756097560976,0.4888888888888889,46,44,82,90
C,Sokogen 14,enjoyable,41,7.853658536585366,7.087952488687782,7.870132222963316,8.58639547413793,9,2.319062047571778,-8.180928571428575,-0.9782682926829265,-8.140309071570183,-1.0034133062356543,-25.51100989010989,-23.742958113107818,9.7847346987315,21.299636576704547,0.4878048780487805,0.4523809523809524,40,38,82,84
C,Sokogen 40,difficult,40,8.775,8.137084398976981,8.793793639767546,9.340980113636364,10,1.9805140487852884,8.670200000000003,-9.169512195121952,8.589481559924122,-9.017571003016798,-9.859216855791962,-27.751955056669573,26.578793927648576,10.022914351851847,0.45121951219512196,0.5444444444444444,37,49,82,90
C,Sokogen 40,enjoyable,41,4.487804878048781,3.729542042042042,4.462223005914559,5.21758152173913,4,2.5211302149979495,0.17969047619047732,-14.22568292682927,-0.296634417683035,-14.248799703471688,-19.464494579831932,-35.423426875000004,18.758674375,7.208305595238089,0.4268292682926829,0.5,35,42,82,84
C,Sokogen 41,difficult,40,7.85,7.085714285714285,7.849082345481804,8.582104367555303,9,2.465661610904298,0.49128888888888833,4.813268292682928,0.3417292641167887,4.35410713840136,-19.527328846960167,-16.063862520325202,20.159975378787873,25.06925683183183,0.524390243902439,0.5,43,45,82,90
C,Sokogen 41,enjoyable,41,5.2926829268292686,4.499722222222222,5.294886418838061,6.064063310845874,6,2.6385971882709227,-3.795404761904762,-29.676999999999996,-3.9424658609712453,-29.113199827650647,-22.04785384746922,-49.61145833333333,14.534238648255808,-8.650652857142862,0.34146341463414637,0.4880952380952381,28,41,82,84
C,Sokogen 46,difficult,40,9.025,8.466627906976743,9.03483644477268,9.468795955882353,10,1.576876171910294,12.387977777777778,-5.39529268292683,12.268431997294684,-5.533021595245544,-4.7895476358695674,-24.77001572916667,30.85583870663649,15.107117291666665,0.47560975609756095,0.5666666666666667,39,51,82,90
C,Sokogen 46,enjoyable,41,4.804878048780488,3.9411470588235296,4.792067275455897,5.625164473684211,4,2.675999927084472,21.940404761904762,29.19748780487805,22.189490564074507,29.059614585035163,-0.4233401315789511,11.53954530632411,43.096901351351356,47.6449161231884,0.6585365853658537,0.6190476190476191,54,52,82,84
